seed,step,action,q0,q1,hl2_mem_mean,hl2_mem_max,hl2_mem_min,obs0,obs1,obs2,obs3
42,0,0,,,-60426.6875,127225,-166138,0.02739560417830944,-0.006112155970185995,0.03585979342460632,0.019736802205443382
42,1,0,,,-66311.3125,139806,-181894,0.02727336250245571,-0.20172953605651855,0.036254528909921646,0.32351475954055786
42,2,0,,,-59508.5625,120331,-155206,0.02323877066373825,-0.39734846353530884,0.04272482171654701,0.6274068355560303
42,3,1,,,-65960.875,139607,-175259,0.015291801653802395,-0.593039870262146,0.05527295917272568,0.933233380317688
42,4,1,,,-66485.6875,140728,-175688,0.0034310040064156055,-0.39870548248291016,0.07393762469291687,0.6584188938140869
42,5,0,,,-66660.0625,139674,-178701,-0.004543105605989695,-0.2046862542629242,0.08710600435733795,0.38990306854248047
42,6,1,,,-51572.75,108649,-141871,-0.008636830374598503,-0.4009295403957367,0.09490406513214111,0.7087287306785583
42,7,1,,,-53441.1875,108256,-146950,-0.016655422747135162,-0.20724132657051086,0.10907863825559616,0.4473637640476227
42,8,0,,,-49322.125,93480,-128409,-0.02080024778842926,-0.013817821629345417,0.11802591383457184,0.19095838069915771
42,9,1,,,-51984.0,111286,-143058,-0.02107660472393036,-0.2104131132364273,0.12184508144855499,0.5184188485145569
42,10,1,,,-51910.0,114471,-147923,-0.025284867733716965,-0.017198342829942703,0.13221345841884613,0.2664793133735657
42,11,0,,,-59066.0625,127566,-164082,-0.02562883496284485,0.17581318318843842,0.13754305243492126,0.01824638433754444
42,12,1,,,-59831.5,129795,-171180,-0.022112570703029633,-0.02098579704761505,0.1379079818725586,0.3509672284126282
42,13,1,,,-62115.3125,127651,-169855,-0.022532286122441292,0.17193308472633362,0.14492732286453247,0.10475289821624756
42,14,1,,,-55817.5625,111346,-147047,-0.019093625247478485,0.3647128939628601,0.14702238142490387,-0.13892564177513123
42,15,1,,,-66027.0625,143432,-179726,-0.011799367144703865,0.5574566721916199,0.14424386620521545,-0.38185322284698486
42,16,0,,,-67346.0625,149587,-183387,-0.0006502334144897759,0.7502674460411072,0.13660679757595062,-0.6258050799369812
42,17,1,,,-63516.125,134018,-173091,0.014355115592479706,0.553529679775238,0.12409070134162903,-0.2934100329875946
42,18,1,,,-61580.875,130482,-165564,0.025425709784030914,0.7466840744018555,0.11822249740362167,-0.5445246696472168
42,19,0,,,-63894.0625,129839,-168835,0.040359389036893845,0.9399636387825012,0.1073320060968399,-0.7977439165115356
42,20,1,,,-70715.9375,152803,-193545,0.05915866419672966,0.743545651435852,0.0913771241903305,-0.4733172655105591
42,21,0,,,-60156.0625,117778,-153866,0.0740295797586441,0.9372663497924805,0.08191078156232834,-0.7358584403991699
42,22,1,,,-71466.5625,167629,-203300,0.0927749052643776,0.7411141991615295,0.06719361245632172,-0.4185619354248047
42,23,0,,,-59035.3125,122719,-156315,0.10759718716144562,0.935222864151001,0.058822374790906906,-0.6893277764320374
42,24,1,,,-73121.5,172040,-207658,0.12630164623260498,0.7393360137939453,0.045035816729068756,-0.3787219524383545
42,25,0,,,-68221.875,148148,-184547,0.1410883665084839,0.9337904453277588,0.037461377680301666,-0.6568717360496521
42,26,1,,,-73180.0625,171972,-206996,0.15976417064666748,0.7381675839424133,0.024323944002389908,-0.3526322543621063
42,27,0,,,-66647.6875,149091,-183565,0.17452752590179443,0.932935357093811,0.01727129891514778,-0.637546956539154
42,28,1,,,-69436.9375,165387,-197170,0.19318623840808868,0.7375768423080444,0.0045203594490885735,-0.3394754230976105
42,29,0,,,-66200.375,144458,-176245,0.20793777704238892,0.9326342344284058,-0.0022691490594297647,-0.6307294964790344
42,30,1,,,-66058.8125,152631,-181705,0.22659045457839966,0.7375440001487732,-0.014883738942444324,-0.3387620449066162
42,31,0,,,-71638.0,158897,-194839,0.24134133756160736,0.9328745603561401,-0.02165897935628891,-0.6361010670661926
42,32,0,,,-76277.125,174350,-210257,0.2599988281726837,0.738061249256134,-0.03438099846243858,-0.3503168821334839
42,33,1,,,-62936.375,140320,-168996,0.27476003766059875,0.5434446930885315,-0.04138733819127083,-0.0686706006526947
42,34,0,,,-76934.3125,177848,-215330,0.28562894463539124,0.7391347885131836,-0.04276074841618538,-0.374118834733963
42,35,0,,,-75542.25,178116,-211304,0.3004116415977478,0.5446455478668213,-0.05024312809109688,-0.09521941840648651
42,36,0,,,-59256.5,131873,-162726,0.3113045394420624,0.3502783477306366,-0.0521475151181221,0.18119816482067108
42,37,1,,,-60434.6875,137255,-170887,0.31831011176109314,0.15593989193439484,-0.04852355271577835,0.4569851756095886
42,38,0,,,-60077.5625,133580,-164684,0.32142892479896545,0.35171306133270264,-0.03938384726643562,0.14941073954105377
42,39,1,,,-57075.1875,125755,-155536,0.3284631669521332,0.15717655420303345,-0.03639563173055649,0.429413378238678
42,40,0,,,-61740.4375,138396,-170431,0.3316067159175873,0.3527945280075073,-0.027807366102933884,0.12548279762268066
42,41,1,,,-59572.9375,134474,-165979,0.33866259455680847,0.15808174014091492,-0.025297710672020912,0.4092647135257721
42,42,1,,,-61218.0625,139936,-166858,0.3418242335319519,0.35355305671691895,-0.01711241528391838,0.10871483385562897
42,43,1,,,-65306.8125,149308,-178294,0.34889528155326843,0.5489159822463989,-0.014938118867576122,-0.1893174797296524
42,44,0,,,-64459.375,149989,-178930,0.35987362265586853,0.7442484498023987,-0.0187244676053524,-0.48667508363723755
42,45,0,,,-64240.0,141605,-171526,0.3747585713863373,0.5493956208229065,-0.028457969427108765,-0.19995178282260895
42,46,0,,,-70505.875,163304,-195427,0.3857465088367462,0.3546920120716095,-0.032457005232572556,0.0836198702454567
42,47,1,,,-61181.4375,139436,-169718,0.39284032583236694,0.16005000472068787,-0.0307846087962389,0.36588844656944275
42,48,0,,,-68134.25,157777,-187849,0.3960413336753845,0.35559558868408203,-0.023466838523745537,0.06365978717803955
42,49,0,,,-71578.8125,160940,-197852,0.4031532406806946,0.16081781685352325,-0.02219364419579506,0.3488473892211914
42,50,1,,,-60155.9375,137759,-167576,0.4063695967197418,-0.0339815616607666,-0.015216696076095104,0.6344500780105591
42,51,1,,,-63408.75,147317,-179111,0.4056899845600128,0.16134929656982422,-0.002527693985030055,0.33701419830322266
42,52,1,,,-61131.0,136476,-168566,0.4089169502258301,0.3565071225166321,0.004212589934468269,0.04353523999452591
42,53,1,,,-68168.875,160954,-192196,0.4160470962524414,0.5515684485435486,0.005083294585347176,-0.24781560897827148
42,54,0,,,-71692.25,165780,-197651,0.4270784556865692,0.7466174364089966,0.00012698254431597888,-0.5388908386230469
42,55,0,,,-67423.0625,157546,-188287,0.4420108199119568,0.5514936447143555,-0.010650834068655968,-0.2461678832769394
42,56,1,,,-66811.5,153140,-186301,0.4530406892299652,0.3565254509449005,-0.015574191696941853,0.04313657805323601
42,57,0,,,-71035.125,165476,-198561,0.4601711928844452,0.5518672466278076,-0.01471146009862423,-0.2544191777706146
42,58,1,,,-66964.75,157645,-189852,0.4712085425853729,0.35695838928222656,-0.019799843430519104,0.03358742967247963
42,59,0,,,-74699.3125,176590,-211110,0.4783477187156677,0.5523585677146912,-0.019128095358610153,-0.2652761936187744
42,60,0,,,-67598.875,156520,-188264,0.489394873380661,0.35751479864120483,-0.024433618411421776,0.021312696859240532
42,61,1,,,-67456.8125,153975,-191482,0.4965451955795288,0.16275161504745483,-0.024007365107536316,0.3061875104904175
42,62,0,,,-66083.8125,151907,-183075,0.4998002052307129,0.3582073152065277,-0.01788361556828022,0.006030971650034189
42,63,1,,,-67918.1875,148564,-186453,0.506964385509491,0.1633463352918625,-0.01776299625635147,0.2930181920528412
42,64,0,,,-62029.8125,135360,-168199,0.5102313160896301,0.3587169945240021,-0.01190263219177723,-0.005213601049035788
42,65,1,,,-66098.875,148804,-188777,0.51740562915802,0.1637677401304245,-0.012006903998553753,0.28369027376174927
42,66,1,,,-57794.1875,126702,-154744,0.5206809639930725,0.35905885696411133,-0.0063330987468361855,-0.012755259871482849
42,67,0,,,-68614.125,158824,-188412,0.5278621315956116,0.5542710423469543,-0.0065882038325071335,-0.30742961168289185
42,68,1,,,-60572.9375,132930,-162648,0.538947582244873,0.35924360156059265,-0.012736796401441097,-0.016831688582897186
42,69,0,,,-72524.625,171111,-202439,0.5461324453353882,0.5545458793640137,-0.013073430396616459,-0.3135058581829071
42,70,0,,,-63391.6875,141122,-172135,0.557223379611969,0.3596125841140747,-0.019343547523021698,-0.02497437596321106
42,71,0,,,-60726.0625,136348,-167753,0.5644156336784363,0.16477330029010773,-0.01984303444623947,0.2615432143211365
42,72,1,,,-62779.125,138858,-174762,0.5677111148834229,-0.030059857293963432,-0.014612169936299324,0.54790198802948
42,73,1,,,-62021.125,141631,-172780,0.5671098828315735,0.165264293551445,-0.003654130734503269,0.25065118074417114
42,74,1,,,-57553.6875,126206,-157013,0.570415198802948,0.3604382276535034,0.0013588928850367665,-0.04318208247423172
42,75,1,,,-64420.0625,145179,-179980,0.5776239633560181,0.5555406808853149,0.0004952513263560832,-0.3354359567165375
42,76,0,,,-67532.9375,146532,-185287,0.5887347459793091,0.7506555914878845,-0.006213468033820391,-0.6279626488685608
42,77,0,,,-70054.0625,157222,-193874,0.6037478446960449,0.5556209087371826,-0.01877272129058838,-0.33724305033683777
42,78,0,,,-63854.4375,139580,-173063,0.6148602962493896,0.3607710599899292,-0.025517581030726433,-0.050538621842861176
42,79,0,,,-63748.6875,142566,-176742,0.6220756769180298,0.1660241037607193,-0.026528354734182358,0.2339853197336197
42,80,1,,,-68075.9375,150964,-192511,0.625396192073822,-0.028708957135677338,-0.02184864692389965,0.518183708190918
42,81,0,,,-64603.5625,139468,-177023,0.6248220205307007,0.166713684797287,-0.011484973132610321,0.218696728348732
